n;code;label;code_bin;
 0; 534;   0; 1;0;0;0;0;1;0;1;1;0;
 1; 267;   6; 0;1;0;0;0;0;1;0;1;1;
 2; 174;  -1; 0;0;1;0;1;0;1;1;1;0;
 3;  87;   4; 0;0;0;1;0;1;0;1;1;1;
 4; 797;   8; 1;1;0;0;0;1;1;1;0;1;
 5; 696;   5; 1;0;1;0;1;1;1;0;0;0;
 6; 577;  -1; 1;0;0;1;0;0;0;0;0;1;
 7; 421;   3; 0;1;1;0;1;0;0;1;0;1;
 8; 348;  -1; 0;1;0;1;0;1;1;1;0;0;
 9; 249;   1; 0;0;1;1;1;1;1;0;0;1;
10; 947;  -1; 1;1;1;0;1;1;0;0;1;1;
11; 842;   2; 1;1;0;1;0;0;1;0;1;0;
12; 751;  -1; 1;0;1;1;1;0;1;1;1;1;
13; 498;   9; 0;1;1;1;1;1;0;0;1;0;
14; 996;   7; 1;1;1;1;1;0;0;1;0;0;
