n;code;label;code_bin;
 0;10922;  0; 0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;
 1;19660;  1; 1;0;0;1;1;0;0;1;1;0;0;1;1;0;0;
 2;6553;  2; 0;0;1;1;0;0;1;1;0;0;1;1;0;0;1;
 3;28912;  3; 1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;
 4;9637;  4; 0;1;0;0;1;0;1;1;0;1;0;0;1;0;1;
 5;17347;  5; 1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;
 6;5782;  6; 0;0;1;0;1;1;0;1;0;0;1;0;1;1;0;
 7;32512;  7; 1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;
 8;10837;  8; 0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;
 9;19507;  9; 1;0;0;1;1;0;0;0;0;1;1;0;0;1;1;
10;6502; -1; 0;0;1;1;0;0;1;0;1;1;0;0;1;1;0;
11;28687; -1; 1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;
12;9562; -1; 0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;
13;17212; -1; 1;0;0;0;0;1;1;0;0;1;1;1;1;0;0;
14;5737; -1; 0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;
